exp_name,rep_id,gen,fitness_mean,fitness_max,scores_entropy,scores_unique,collective_score
2024_11_26_01__exploration_tournament,001,50000,5271.2,6100,2.7522,136,6100
2024_11_26_01__exploration_tournament,002,50000,5503.61,6400,2.7522,136,6400
2024_11_26_01__exploration_tournament,003,50000,787.771,800,0.47324,23,800
2024_11_26_01__exploration_tournament,004,50000,1919.14,2000,0.951278,47,2000
2024_11_26_01__exploration_tournament,005,50000,5087,5800,2.21185,109,5800
2024_11_26_01__exploration_tournament,006,50000,496.786,500,0.187117,10,500
2024_11_26_01__exploration_tournament,007,50000,7646.49,9500,3.88335,192,9500
2024_11_26_01__exploration_tournament,008,50000,397.788,400,0.187117,10,400
2024_11_26_01__exploration_tournament,009,50000,5191.13,6100,3.14477,155,6100
2024_11_26_01__exploration_tournament,010,50000,6425.32,7600,3.06972,152,7600
2024_11_26_01__exploration_tournament,011,50000,6734.3,8200,3.42039,169,8200
2024_11_26_01__exploration_tournament,012,50000,2890.09,3100,1.47358,71,3100
2024_11_26_01__exploration_tournament,013,50000,7424.92,9200,3.76672,186,9200
2024_11_26_01__exploration_tournament,014,50000,2362.69,2500,1.2955,63,2500
2024_11_26_01__exploration_tournament,015,50000,6713.36,8000,3.46001,169,8000
2024_11_26_01__exploration_tournament,016,50000,3143.46,3400,1.66613,82,3400
2024_11_26_01__exploration_tournament,017,50000,2814.3,3000,1.35676,66,3000
2024_11_26_01__exploration_tournament,018,50000,2745.87,3000,1.76358,86,3000
2024_11_26_01__exploration_tournament,019,50000,99.9983,100,0.0208141,2,100
2024_11_26_01__exploration_tournament,020,50000,2273.3,2400,1.33084,64,2400
2024_11_26_01__exploration_tournament,021,50000,497.58,500,0.224635,11,500
2024_11_26_01__exploration_tournament,022,50000,596.181,600,0.245385,12,600
2024_11_26_01__exploration_tournament,023,50000,6455.33,7700,3.36147,166,7700
2024_11_26_01__exploration_tournament,024,50000,1550.15,1600,0.674236,32,1600
2024_11_26_01__exploration_tournament,025,50000,3884.85,4300,2.0507,101,4300
2024_11_26_01__exploration_tournament,026,50000,298.393,300,0.18466,7,300
2024_11_26_01__exploration_tournament,027,50000,298.381,300,0.246909,10,300
2024_11_26_01__exploration_tournament,028,50000,5987.18,7100,3.00083,147,7100
2024_11_26_01__exploration_tournament,029,50000,6306.53,7600,3.42439,170,7600
2024_11_26_01__exploration_tournament,030,50000,2577.71,2700,1.13587,56,2700
2024_11_26_01__exploration_tournament,031,50000,1648.54,1700,0.827933,41,1700
2024_11_26_01__exploration_tournament,032,50000,6951.31,8900,3.90826,194,8900
2024_11_26_01__exploration_tournament,033,50000,888.355,900,0.50908,24,900
2024_11_26_01__exploration_tournament,034,50000,4164.82,4700,2.25207,111,4700
2024_11_26_01__exploration_tournament,035,50000,3991.83,4400,1.97104,93,4400
2024_11_26_01__exploration_tournament,036,50000,1542.14,1600,0.838997,40,1600
2024_11_26_01__exploration_tournament,037,50000,4330.43,4800,2.03052,100,4800
2024_11_26_01__exploration_tournament,038,50000,6899.14,8300,3.55205,175,8300
2024_11_26_01__exploration_tournament,039,50000,7238.25,9300,4.16366,208,9300
2024_11_26_01__exploration_tournament,040,50000,788.982,800,0.302089,14,800
2024_11_26_01__exploration_tournament,041,50000,7276.54,8600,3.0855,152,8600
2024_11_26_01__exploration_tournament,042,50000,3055.88,3300,1.68643,83,3300
2024_11_26_01__exploration_tournament,043,50000,8078.71,9900,3.56156,177,9900
2024_11_26_01__exploration_tournament,044,50000,785.774,800,0.431865,21,800
2024_11_26_01__exploration_tournament,045,50000,7247.71,9100,3.88886,193,9100
2024_11_26_01__exploration_tournament,046,50000,497.793,500,0.183117,9,500
2024_11_26_01__exploration_tournament,047,50000,6076.97,7200,2.93106,145,7200
2024_11_26_01__exploration_tournament,048,50000,6071.96,7200,2.99054,148,7200
2024_11_26_01__exploration_tournament,049,50000,5932.11,7100,3.29047,161,7100
2024_11_26_01__exploration_tournament,050,50000,7530.71,9100,3.65928,182,9100
2024_11_26_01__exploration_tournament,051,50000,6847.13,8300,3.42439,170,8300
2024_11_26_01__exploration_tournament,052,50000,783.361,800,0.523256,24,800
2024_11_26_01__exploration_tournament,053,50000,7718.68,9800,3.98028,197,9800
2024_11_26_01__exploration_tournament,054,50000,4387.4,5000,2.6231,128,5000
2024_11_26_01__exploration_tournament,055,50000,1359.15,1400,0.700363,34,1400
2024_11_26_01__exploration_tournament,056,50000,5570.39,6500,2.88737,142,6500
2024_11_26_01__exploration_tournament,057,50000,7733.25,9900,4.06716,203,9900
2024_11_26_01__exploration_tournament,058,50000,3464.66,3800,1.88909,93,3800
2024_11_26_01__exploration_tournament,059,50000,4558.61,5100,2.23607,108,5100
2024_11_26_01__exploration_tournament,060,50000,299.393,300,0.104012,6,300
2024_11_26_01__exploration_tournament,061,50000,3172.49,3400,1.56051,76,3400
2024_11_26_01__exploration_tournament,062,50000,4489.81,5100,2.38858,117,5100
2024_11_26_01__exploration_tournament,063,50000,3162.85,3400,1.69722,82,3400
2024_11_26_01__exploration_tournament,064,50000,1461.96,1500,0.663123,33,1500
2024_11_26_01__exploration_tournament,065,50000,6421.52,7800,3.2474,161,7800
2024_11_26_01__exploration_tournament,066,50000,691.771,700,0.349045,17,700
2024_11_26_01__exploration_tournament,067,50000,1814.34,1900,0.967814,47,1900
2024_11_26_01__exploration_tournament,068,50000,3274.7,3500,1.36076,67,3500
2024_11_26_01__exploration_tournament,069,50000,6261.19,7200,2.67251,132,7200
2024_11_26_01__exploration_tournament,070,50000,5929.35,7000,2.98103,146,7000
2024_11_26_01__exploration_tournament,071,50000,1364.94,1400,0.679746,33,1400
2024_11_26_01__exploration_tournament,072,50000,397.989,400,0.18466,7,400
2024_11_26_01__exploration_tournament,073,50000,498.595,500,0.124797,7,500
2024_11_26_01__exploration_tournament,074,50000,6988.93,8700,3.58112,178,8700
2024_11_26_01__exploration_tournament,075,50000,7633.33,9700,3.85402,192,9700
2024_11_26_01__exploration_tournament,076,50000,4815.79,5500,2.65256,131,5500
