exp_name,rep_id,trial_id,gen,replay_gen,fitness_mean,fitness_max,scores_entropy,scores_unique,collective_score
2024_11_26_01__exploration_tournament,043,1,49900,1,6198.36,7300,3.04994,151,7300
2024_11_26_01__exploration_tournament,043,2,49900,1,2004.71,2100,1.11538,55,2100
2024_11_26_01__exploration_tournament,043,3,49900,1,6791.76,8100,3.34181,165,8100
2024_11_26_01__exploration_tournament,043,4,49900,1,2475.13,2600,0.967814,47,2600
2024_11_26_01__exploration_tournament,043,5,49900,1,2812.89,3000,1.40156,69,3000
2024_11_26_01__exploration_tournament,043,6,49900,1,3690.44,4000,1.81236,87,4000
2024_11_26_01__exploration_tournament,043,7,49900,1,199.8,200,0.0208141,2,200
2024_11_26_01__exploration_tournament,043,8,49900,1,1369.77,1400,0.497918,25,1400
2024_11_26_01__exploration_tournament,043,9,49900,1,5398.99,6200,2.57271,127,6200
2024_11_26_01__exploration_tournament,043,10,49900,1,6012.78,6900,2.64856,130,6900
2024_11_26_01__exploration_tournament,043,11,49900,1,6055.74,7000,3.00083,147,7000
2024_11_26_01__exploration_tournament,043,12,49900,1,7728.69,9700,3.75676,187,9700
2024_11_26_01__exploration_tournament,043,13,49900,1,4646.85,5200,2.12733,104,5200
2024_11_26_01__exploration_tournament,043,14,49900,1,3140.7,3400,1.39756,68,3400
2024_11_26_01__exploration_tournament,043,15,49900,1,3449.25,3800,1.95395,94,3800
2024_11_26_01__exploration_tournament,043,16,49900,1,2266.49,2400,1.25463,61,2400
2024_11_26_01__exploration_tournament,043,17,49900,1,3867.03,4300,2.08703,102,4300
2024_11_26_01__exploration_tournament,043,18,49900,1,2289.13,2400,1.11538,55,2400
2024_11_26_01__exploration_tournament,043,19,49900,1,2911.28,3100,1.33084,64,3100
2024_11_26_01__exploration_tournament,043,20,49900,1,5568.39,6400,2.67251,132,6400
2024_11_26_01__exploration_tournament,043,21,49900,1,1073.15,1100,0.535256,26,1100
2024_11_26_01__exploration_tournament,043,22,49900,1,4629.03,5200,2.28825,112,5200
2024_11_26_01__exploration_tournament,043,23,49900,1,2190.32,2300,1.09216,51,2300
2024_11_26_01__exploration_tournament,043,24,49900,1,5037.62,5700,2.28825,112,5700
2024_11_26_01__exploration_tournament,043,25,49900,1,7811.89,9700,3.87344,193,9700
2024_11_26_01__exploration_tournament,043,26,49900,1,2361.11,2500,1.21374,59,2500
2024_11_26_01__exploration_tournament,043,27,49900,1,2269.3,2400,1.28999,62,2400
2024_11_26_01__exploration_tournament,043,28,49900,1,5996.16,7100,3.03014,150,7100
2024_11_26_01__exploration_tournament,043,29,49900,1,888.978,900,0.328325,16,900
2024_11_26_01__exploration_tournament,043,30,49900,1,1271.56,1300,0.555916,27,1300
2024_11_26_01__exploration_tournament,043,31,49900,1,5593.54,6700,3.2314,158,6700
2024_11_26_01__exploration_tournament,043,32,49900,1,5408.76,6300,2.73229,135,6300
2024_11_26_01__exploration_tournament,043,33,49900,1,6996.97,8200,3.01034,149,8200
2024_11_26_01__exploration_tournament,043,34,49900,1,7352.46,9700,4.46677,223,9700
2024_11_26_01__exploration_tournament,043,35,49900,1,3496.68,3800,1.68243,82,3800
2024_11_26_01__exploration_tournament,043,36,49900,1,791.976,800,0.281357,13,800
2024_11_26_01__exploration_tournament,043,37,49900,1,3115.88,3400,1.60518,79,3400
2024_11_26_01__exploration_tournament,043,38,49900,1,7611.9,9300,3.79569,189,9300
2024_11_26_01__exploration_tournament,043,39,49900,1,7673.69,9400,3.60067,179,9400
2024_11_26_01__exploration_tournament,043,40,49900,1,6553.77,7800,3.10926,154,7800
2024_11_26_01__exploration_tournament,043,41,49900,1,1930.35,2000,0.818424,39,2000
2024_11_26_01__exploration_tournament,043,42,49900,1,3448.82,3900,2.23196,110,3900
2024_11_26_01__exploration_tournament,043,43,49900,1,6209.13,7600,3.49332,172,7600
2024_11_26_01__exploration_tournament,043,44,49900,1,4783.61,5400,2.47272,122,5400
2024_11_26_01__exploration_tournament,043,45,49900,1,7366.74,8700,3.22369,159,8700
2024_11_26_01__exploration_tournament,043,46,49900,1,5018.59,5800,2.56871,126,5800
2024_11_26_01__exploration_tournament,043,47,49900,1,2270.52,2400,1.20823,58,2400
2024_11_26_01__exploration_tournament,043,48,49900,1,2284.72,2400,0.947278,46,2400
2024_11_26_01__exploration_tournament,043,49,49900,1,7305.51,9100,3.83059,190,9100
2024_11_26_01__exploration_tournament,043,50,49900,1,7732.91,9700,3.94153,195,9700
2024_11_26_01__exploration_tournament,043,1,49900,2,4145.22,4600,2.14196,104,4600
2024_11_26_01__exploration_tournament,043,2,49900,2,7594.92,9400,3.51841,174,9400
2024_11_26_01__exploration_tournament,043,3,49900,2,7597.29,9900,4.10179,204,9900
2024_11_26_01__exploration_tournament,043,4,49900,2,4258.84,4700,2.02652,99,4700
2024_11_26_01__exploration_tournament,043,5,49900,2,7644.11,9400,3.60067,179,9400
2024_11_26_01__exploration_tournament,043,6,49900,2,7489.87,9400,3.90275,193,9400
