exp_name,rep_id,gen,fitness_mean,fitness_max,scores_entropy,scores_unique,collective_score
2024_11_26_02__exploration_lexicase,001,41500,8090.54,9900,3.53248,174,9900
2024_11_26_02__exploration_lexicase,002,40500,7724.3,9800,3.81859,188,9800
2024_11_26_02__exploration_lexicase,003,40000,7792.08,9800,3.89286,194,9800
2024_11_26_02__exploration_lexicase,004,37300,7860.3,9800,3.81514,190,9800
2024_11_26_02__exploration_lexicase,005,39700,7652.67,9800,4.00515,199,9800
2024_11_26_02__exploration_lexicase,006,39600,8007.55,9700,3.32615,165,9700
2024_11_26_02__exploration_lexicase,007,40500,7890.32,9700,3.6983,184,9700
2024_11_26_02__exploration_lexicase,008,41200,7628.87,9900,4.29834,215,9900
2024_11_26_02__exploration_lexicase,009,40800,7913.32,10000,3.96091,196,10000
2024_11_26_02__exploration_lexicase,010,39800,7753.91,9700,3.83459,191,9700
2024_11_26_02__exploration_lexicase,011,40000,7627.5,9700,3.83459,191,9700
2024_11_26_02__exploration_lexicase,012,40800,7691.84,9800,4.2504,211,9800
2024_11_26_02__exploration_lexicase,013,39500,7861.29,9700,4.00515,199,9700
2024_11_26_02__exploration_lexicase,014,40600,7822.69,9900,3.92766,195,9900
2024_11_26_02__exploration_lexicase,015,40600,7960.91,9800,3.63975,181,9800
2024_11_26_02__exploration_lexicase,016,39600,7620.69,9400,3.44001,170,9400
2024_11_26_02__exploration_lexicase,017,40300,7850.89,9800,3.96642,197,9800
2024_11_26_02__exploration_lexicase,018,41000,7738.65,10000,4.20544,208,10000
2024_11_26_02__exploration_lexicase,019,41200,7588.5,9900,4.10579,205,9900
2024_11_26_02__exploration_lexicase,020,41000,7552.68,9700,4.12509,206,9700
2024_11_26_02__exploration_lexicase,021,41400,7988.3,9900,3.89286,194,9900
2024_11_26_02__exploration_lexicase,022,40100,7652.26,9800,4.25991,213,9800
2024_11_26_02__exploration_lexicase,023,40300,7837.51,9700,3.67879,183,9700
