exp_name,rep_id,trial_id,gen,replay_gen,fitness_mean,fitness_max,scores_entropy,scores_unique,collective_score
2024_11_26_02__exploration_lexicase,009,1,49900,100,7745.88,9900,4.14038,206,9900
2024_11_26_02__exploration_lexicase,009,2,49900,100,8041.11,9900,3.86944,192,9900
2024_11_26_02__exploration_lexicase,009,3,49900,100,7873.31,10000,3.95104,197,10000
2024_11_26_02__exploration_lexicase,009,4,49900,100,7915.7,9900,3.71779,185,9900
2024_11_26_02__exploration_lexicase,009,5,49900,100,7471.88,9700,4.22144,211,9700
2024_11_26_02__exploration_lexicase,009,6,49900,100,7795.67,9900,4.00915,200,9900
2024_11_26_02__exploration_lexicase,009,7,49900,100,8087.08,10000,3.83059,190,10000
2024_11_26_02__exploration_lexicase,009,8,49900,100,7986.32,9900,3.65528,181,9900
2024_11_26_02__exploration_lexicase,009,9,49900,100,7750.86,9900,4.00915,200,9900
2024_11_26_02__exploration_lexicase,009,10,49900,100,7484.86,9700,4.16366,208,9700
2024_11_26_02__exploration_lexicase,009,11,49900,100,8115.12,10000,3.62022,180,10000
2024_11_26_02__exploration_lexicase,009,12,49900,100,7545.51,9600,3.93504,194,9600
2024_11_26_02__exploration_lexicase,009,13,49900,100,7961.28,10000,3.96642,197,10000
2024_11_26_02__exploration_lexicase,009,14,49900,100,7861.5,9900,3.93166,196,9900
2024_11_26_02__exploration_lexicase,009,15,49900,100,7838.7,9900,4.14038,206,9900
2024_11_26_02__exploration_lexicase,009,16,49900,100,8061.92,10000,3.64977,180,10000
2024_11_26_02__exploration_lexicase,009,17,49900,100,7865.94,9900,3.73328,185,9900
2024_11_26_02__exploration_lexicase,009,18,49900,100,7961.33,9800,3.66928,181,9800
2024_11_26_02__exploration_lexicase,009,19,49900,100,7816.85,9800,4.03832,200,9800
2024_11_26_02__exploration_lexicase,009,20,49900,100,7929.67,10000,3.94704,196,10000
2024_11_26_02__exploration_lexicase,009,21,49900,100,7559.29,9800,4.12509,206,9800
2024_11_26_02__exploration_lexicase,009,22,49900,100,8001.07,10000,3.77623,188,10000
2024_11_26_02__exploration_lexicase,009,23,49900,100,7572.28,9600,3.87344,193,9600
2024_11_26_02__exploration_lexicase,009,24,49900,100,7685.65,9800,4.21193,209,9800
2024_11_26_02__exploration_lexicase,009,25,49900,100,7923.69,9900,3.85402,192,9900
2024_11_26_02__exploration_lexicase,009,26,49900,100,7827.47,9800,4.08248,203,9800
