exp_name,rep_id,gen,fitness_mean,fitness_max,scores_entropy,scores_unique,collective_score
2025_05_16_01__exploration_tournament_replays,001,39000,7808.34,9600,3.46363,172,9600
2025_05_16_01__exploration_tournament_replays,002,40900,7896.87,9900,3.77223,187,9900
2025_05_16_01__exploration_tournament_replays,003,40200,7767.49,9700,3.97042,198,9700
2025_05_16_01__exploration_tournament_replays,004,41800,7840.88,10000,3.99964,198,10000
2025_05_16_01__exploration_tournament_replays,005,41900,7723.88,10000,4.28234,212,10000
2025_05_16_01__exploration_tournament_replays,006,40600,7718.88,9800,3.98979,199,9800
2025_05_16_01__exploration_tournament_replays,007,40100,7591.27,9600,4.12838,204,9600
2025_05_16_01__exploration_tournament_replays,008,40300,7829.11,9600,3.77223,187,9600
2025_05_16_01__exploration_tournament_replays,009,41000,7886.72,9900,3.84451,190,9900
2025_05_16_01__exploration_tournament_replays,010,39900,7840.31,9700,3.86944,192,9700
2025_05_16_01__exploration_tournament_replays,011,38500,7582.13,9400,3.75676,187,9400
2025_05_16_01__exploration_tournament_replays,012,40700,7745.27,9900,4.14438,207,9900
2025_05_16_01__exploration_tournament_replays,013,41100,7981.07,10000,3.96642,197,10000
2025_05_16_01__exploration_tournament_replays,014,41600,8154.72,10000,3.75676,187,10000
2025_05_16_01__exploration_tournament_replays,015,40600,8020.11,9900,3.89626,192,9900
2025_05_16_01__exploration_tournament_replays,016,40500,8062.08,10000,4.00915,200,10000
2025_05_16_01__exploration_tournament_replays,017,40600,7617.87,9800,4.12509,206,9800
2025_05_16_01__exploration_tournament_replays,018,39900,7596.47,9700,3.96642,197,9700
2025_05_16_01__exploration_tournament_replays,019,40400,7757.71,9700,3.86944,192,9700
2025_05_16_01__exploration_tournament_replays,020,41300,7795.07,9900,4.04783,202,9900
2025_05_16_01__exploration_tournament_replays,021,39700,7629.06,9700,4.08248,203,9700
2025_05_16_01__exploration_tournament_replays,022,40600,7661.1,9700,3.87344,193,9700
2025_05_16_01__exploration_tournament_replays,023,39400,7669.48,9600,3.98579,198,9600
2025_05_16_01__exploration_tournament_replays,024,39100,7826.66,9600,3.75276,186,9600
2025_05_16_01__exploration_tournament_replays,025,39500,7464.9,9400,3.6983,184,9400
2025_05_16_01__exploration_tournament_replays,026,39200,7598.52,9600,3.71779,185,9600
2025_05_16_01__exploration_tournament_replays,027,39600,7805.13,9500,3.45412,170,9500
2025_05_16_01__exploration_tournament_replays,028,40700,7896.32,10000,3.85002,191,10000
2025_05_16_01__exploration_tournament_replays,029,41000,7929.28,9900,4.07048,201,9900
2025_05_16_01__exploration_tournament_replays,030,41200,8026.08,10000,3.87686,191,10000
2025_05_16_01__exploration_tournament_replays,031,38900,7479.92,9300,3.48323,173,9300
2025_05_16_01__exploration_tournament_replays,032,40700,7946.71,9900,3.45963,171,9900
2025_05_16_01__exploration_tournament_replays,033,40300,7717.9,10000,4.15966,207,10000
2025_05_16_01__exploration_tournament_replays,034,41500,8049.32,10000,3.71779,185,10000
2025_05_16_01__exploration_tournament_replays,035,39600,7880.7,9700,3.65928,182,9700
2025_05_16_01__exploration_tournament_replays,036,40500,7798.7,9800,3.94704,196,9800
2025_05_16_01__exploration_tournament_replays,037,39400,7763.5,9700,3.96642,197,9700
2025_05_16_01__exploration_tournament_replays,038,40200,7659.09,9800,3.96091,196,9800
2025_05_16_01__exploration_tournament_replays,039,39400,7699.92,9400,3.64977,180,9400
2025_05_16_01__exploration_tournament_replays,040,41000,7931.49,10000,3.89286,194,10000
2025_05_16_01__exploration_tournament_replays,041,39500,7530.7,9500,3.92783,193,9500
2025_05_16_01__exploration_tournament_replays,042,40800,7875.11,9900,3.67879,183,9900
2025_05_16_01__exploration_tournament_replays,043,38900,7477.34,9200,3.46363,172,9200
2025_05_16_01__exploration_tournament_replays,044,40100,7597.11,9600,3.93166,196,9600
2025_05_16_01__exploration_tournament_replays,045,40900,7984.1,10000,3.82508,189,10000
2025_05_16_01__exploration_tournament_replays,046,40000,7426.07,9700,4.14438,207,9700
2025_05_16_01__exploration_tournament_replays,047,40400,7832.27,10000,4.14438,207,10000
2025_05_16_01__exploration_tournament_replays,048,39700,8007.49,9900,3.86944,192,9900
2025_05_16_01__exploration_tournament_replays,049,40500,7964.12,9900,3.83459,191,9900
2025_05_16_01__exploration_tournament_replays,050,40500,7937.87,9900,4.06316,202,9900
2025_05_16_01__exploration_tournament_replays,051,39100,7904.51,9800,3.77623,188,9800
2025_05_16_01__exploration_tournament_replays,052,39800,7922.31,9700,3.73728,186,9700
2025_05_16_01__exploration_tournament_replays,053,38500,7693.92,9700,4.05765,201,9700
2025_05_16_01__exploration_tournament_replays,054,38900,7856.67,9800,4.06716,203,9800
2025_05_16_01__exploration_tournament_replays,055,40800,7898.69,10000,3.76672,186,10000
2025_05_16_01__exploration_tournament_replays,056,40400,7823.08,9900,3.92215,194,9900
2025_05_16_01__exploration_tournament_replays,057,38500,7391.47,9400,4.08648,204,9400
2025_05_16_01__exploration_tournament_replays,058,39500,7529.86,9700,4.02849,201,9700
2025_05_16_01__exploration_tournament_replays,059,39300,7676.49,9700,4.12109,205,9700
2025_05_16_01__exploration_tournament_replays,060,40700,7829.09,9900,4.19268,208,9900
2025_05_16_01__exploration_tournament_replays,061,39900,7817.52,9700,3.54199,176,9700
2025_05_16_01__exploration_tournament_replays,062,41200,7830.65,10000,4.04783,202,10000
2025_05_16_01__exploration_tournament_replays,063,40200,8095.28,9800,3.82508,189,9800
2025_05_16_01__exploration_tournament_replays,064,40100,7573.06,9700,4.18293,209,9700
2025_05_16_01__exploration_tournament_replays,065,39200,7611.12,9500,3.74725,185,9500
2025_05_16_01__exploration_tournament_replays,066,41200,7883.5,9900,3.90826,194,9900
2025_05_16_01__exploration_tournament_replays,067,39400,7711.51,9700,3.84451,190,9700
2025_05_16_01__exploration_tournament_replays,068,40300,7547.05,9600,4.02849,201,9600
2025_05_16_01__exploration_tournament_replays,069,39500,7613.31,9600,3.79193,186,9600
2025_05_16_01__exploration_tournament_replays,070,41300,7844.64,10000,4.24068,212,10000
2025_05_16_01__exploration_tournament_replays,071,40400,8149.12,10000,3.6943,183,10000
2025_05_16_01__exploration_tournament_replays,072,38800,7343.06,9500,3.98979,199,9500
2025_05_16_01__exploration_tournament_replays,073,40000,7713.5,9700,3.6983,184,9700
2025_05_16_01__exploration_tournament_replays,074,40700,7831.53,9900,3.90275,193,9900
2025_05_16_01__exploration_tournament_replays,075,40100,7782.26,9700,3.95104,197,9700
2025_05_16_01__exploration_tournament_replays,076,40900,7981.31,10000,3.73728,186,10000
2025_05_16_01__exploration_tournament_replays,077,40400,7739.11,9700,3.94704,196,9700
2025_05_16_01__exploration_tournament_replays,078,39400,7556.05,9600,4.12838,204,9600
2025_05_16_01__exploration_tournament_replays,079,39700,7795.9,9700,3.90826,194,9700
2025_05_16_01__exploration_tournament_replays,080,39700,7822.67,9700,3.75676,187,9700
2025_05_16_01__exploration_tournament_replays,081,40900,7838.27,9900,4.08648,204,9900
2025_05_16_01__exploration_tournament_replays,082,39100,7604.5,9400,3.83059,190,9400
2025_05_16_01__exploration_tournament_replays,083,39300,7881.52,9800,3.71379,184,9800
2025_05_16_01__exploration_tournament_replays,084,39500,8099.7,9900,3.58112,178,9900
2025_05_16_01__exploration_tournament_replays,085,39800,8072.51,9900,3.75276,186,9900
2025_05_16_01__exploration_tournament_replays,086,40900,7953.08,10000,3.98979,199,10000
2025_05_16_01__exploration_tournament_replays,087,40700,7668.25,9900,4.12109,205,9900
2025_05_16_01__exploration_tournament_replays,088,40800,7899.1,10000,3.81514,190,10000
2025_05_16_01__exploration_tournament_replays,089,39800,7760.72,9600,3.56156,177,9600
2025_05_16_01__exploration_tournament_replays,090,41000,7886.29,10000,3.93166,196,10000
2025_05_16_01__exploration_tournament_replays,091,40000,7837.71,9700,3.87344,193,9700
2025_05_16_01__exploration_tournament_replays,092,39300,7578.92,9500,3.75676,187,9500
2025_05_16_01__exploration_tournament_replays,093,40700,8050.5,10000,3.90826,194,10000
2025_05_16_01__exploration_tournament_replays,094,40100,7642.7,9700,3.94153,195,9700
2025_05_16_01__exploration_tournament_replays,095,39500,7683.46,9800,4.20219,210,9800
2025_05_16_01__exploration_tournament_replays,096,40200,7825.32,9800,3.71379,184,9800
2025_05_16_01__exploration_tournament_replays,097,41000,8031.88,9900,3.63975,181,9900
2025_05_16_01__exploration_tournament_replays,098,39100,7800.49,9600,3.64977,180,9600
2025_05_16_01__exploration_tournament_replays,099,41500,7673.51,9600,3.71379,184,9600
2025_05_16_01__exploration_tournament_replays,100,42800,7693.89,9900,4.08648,204,9900
