Generation,phylogenetic_diversity,mean_pairwise_distance,min_pairwise_distance,max_pairwise_distance,variance_pairwise_distance,mean_evolutionary_distinctiveness,min_evolutionary_distinctiveness,max_evolutionary_distinctiveness,variance_evolutionary_distinctiveness
10,705,5.71763,1,13,8.05541,-1,-1,-1,0
20,1034,11.0349,1,24,37.7347,-1,-1,-1,0
30,1254,15.5818,1,38,99.1278,-1,-1,-1,0
40,1586,19.9432,1,50,189.263,-1,-1,-1,0
50,1897,26.1421,1,58,289.108,-1,-1,-1,0
60,2103,30.751,1,69,486.543,-1,-1,-1,0
70,2288,36.4263,1,81,597.517,-1,-1,-1,0
80,2661,44.1041,1,93,760.366,-1,-1,-1,0
90,2956,49.6054,1,102,900.517,-1,-1,-1,0
100,3329,59.8471,1,115,1277.35,-1,-1,-1,0
110,3720,69.275,1,126,1456.95,-1,-1,-1,0
120,3987,74.3563,1,138,1803.77,-1,-1,-1,0
130,4381,77.8791,1,153,2490.95,-1,-1,-1,0
140,4744,89.9792,1,162,2630.14,-1,-1,-1,0
150,5097,97.5887,1,176,3121.63,-1,-1,-1,0
160,5374,102.337,1,184,4056.55,-1,-1,-1,0
170,5498,107.726,1,193,4561.7,-1,-1,-1,0
180,5618,112.649,1,206,5437.81,-1,-1,-1,0
190,5830,121.586,1,214,6275.27,-1,-1,-1,0
200,5952,126.614,1,225,7329.76,-1,-1,-1,0
210,6335,137.96,1,238,7958.51,-1,-1,-1,0
220,6559,145.611,1,254,8717.04,-1,-1,-1,0
230,6613,141.161,1,266,10432.7,-1,-1,-1,0
240,6986,150.38,1,280,11493.6,-1,-1,-1,0
250,6966,156.129,1,292,13275,-1,-1,-1,0
260,6897,142.885,1,305,15304.9,-1,-1,-1,0
270,6914,156.061,1,316,16395.2,-1,-1,-1,0
280,7068,151.451,1,324,18764.9,-1,-1,-1,0
290,7260,157.557,1,341,20972.3,-1,-1,-1,0
300,7478,166.039,1,354,22125.5,-1,-1,-1,0
310,7544,174.999,1,363,24408.4,-1,-1,-1,0
320,7754,186.848,1,376,25319.1,-1,-1,-1,0
330,8122,188.461,1,393,25973.9,-1,-1,-1,0
340,8362,181.136,1,404,28769.8,-1,-1,-1,0
350,8507,207.114,1,417,30149.7,-1,-1,-1,0
360,8810,194.288,1,428,32609.1,-1,-1,-1,0
370,8730,190.186,1,443,35573.2,-1,-1,-1,0
380,8902,197.582,1,456,37114.2,-1,-1,-1,0
390,9091,209.035,1,469,40329.8,-1,-1,-1,0
400,9104,207.1,1,480,42888,-1,-1,-1,0
410,9285,210.493,1,490,46576.1,-1,-1,-1,0
420,9582,214.641,1,507,46765.9,-1,-1,-1,0
430,9740,228.211,1,521,48566.6,-1,-1,-1,0
440,10086,225.876,1,535,52361.3,-1,-1,-1,0
450,10359,231.189,1,548,54615.1,-1,-1,-1,0
460,10629,251.622,1,561,59600.1,-1,-1,-1,0
